Area,Area Code,Year,Value
Afghanistan,2,1961,37700
Afghanistan,2,1962,37760
Afghanistan,2,1963,37810
Afghanistan,2,1964,37873
Afghanistan,2,1965,37875
Afghanistan,2,1966,37913
Afghanistan,2,1967,37979
Afghanistan,2,1968,37980
Afghanistan,2,1969,37996
Afghanistan,2,1970,38006
Afghanistan,2,1971,38036
Afghanistan,2,1972,38046
Afghanistan,2,1973,38048
Afghanistan,2,1974,38048
Afghanistan,2,1975,38048
Afghanistan,2,1976,38048
Afghanistan,2,1977,38050
Afghanistan,2,1978,38050
Afghanistan,2,1979,38049
Afghanistan,2,1980,38049
Afghanistan,2,1981,38053
Afghanistan,2,1982,38054
Afghanistan,2,1983,38054
Afghanistan,2,1984,38054
Afghanistan,2,1985,38054
Afghanistan,2,1986,38054
Afghanistan,2,1987,38045
Afghanistan,2,1988,38040
Afghanistan,2,1989,38040
Afghanistan,2,1990,38040
Afghanistan,2,1991,38030
Afghanistan,2,1992,38030
Afghanistan,2,1993,37934
Afghanistan,2,1996,37752
Afghanistan,2,1997,37790
Afghanistan,2,1998,37867
Afghanistan,2,1999,37753
Afghanistan,2,2000,37753
Afghanistan,2,2001,37753
Afghanistan,2,2002,37753
Afghanistan,2,2003,37910
Afghanistan,2,2004,37911
Afghanistan,2,2005,37910
Afghanistan,2,2006,37910
Afghanistan,2,2007,37910
Afghanistan,2,2008,37910
Afghanistan,2,2009,37910
Afghanistan,2,2010,37911
Afghanistan,2,2011,37910
Afghanistan,2,2012,37910
Afghanistan,2,2013,37910
Afghanistan,2,2014,37910
Afghanistan,2,2015,37910
Australia,10,1961,474484.44
Australia,10,1962,476592.93
Australia,10,1963,479369.58
Australia,10,1964,481903.81
Australia,10,1965,486259.19
Australia,10,1966,487028.53
Australia,10,1967,489580.56
Australia,10,1968,513569.56
Australia,10,1969,510888.02
Australia,10,1970,493432.5
Australia,10,1971,499536.17
Australia,10,1972,499815
Australia,10,1973,497897
Australia,10,1974,500357
Australia,10,1975,499547
Australia,10,1976,500742
Australia,10,1977,491510
Australia,10,1978,496100
Australia,10,1979,493238
Australia,10,1980,495638
Australia,10,1981,495565
Australia,10,1982,490772
Australia,10,1983,483789
Australia,10,1984,486558
Australia,10,1985,486791
Australia,10,1986,468541
Australia,10,1987,471020
Australia,10,1988,472052
Australia,10,1989,467104
Australia,10,1990,464437
Australia,10,1991,462782
Australia,10,1992,466004
Australia,10,1993,460097
Australia,10,1994,469143
Australia,10,1995,463388
Australia,10,1996,465230
Australia,10,1997,462233
Australia,10,1998,463881
Australia,10,1999,453693
Australia,10,2000,455469
Australia,10,2001,455700
Australia,10,2002,447000
Australia,10,2003,439764
Australia,10,2004,394906
Australia,10,2005,410230
Australia,10,2006,409302
Australia,10,2007,398355.5
Australia,10,2008,389288
Australia,10,2009,384257
Australia,10,2010,376372
Australia,10,2011,396121
Australia,10,2012,387076
Australia,10,2013,371775
Australia,10,2014,374423
Australia,10,2015,348119
Brazil,21,1961,156959
Brazil,21,1962,160666
Brazil,21,1963,164373
Brazil,21,1964,168080
Brazil,21,1965,171787
Brazil,21,1966,175494
Brazil,21,1967,179201
Brazil,21,1968,182908
Brazil,21,1969,186615
Brazil,21,1970,190328
Brazil,21,1971,193834
Brazil,21,1972,197340
Brazil,21,1973,200846
Brazil,21,1974,204352
Brazil,21,1975,207859
Brazil,21,1976,218989
Brazil,21,1977,222039
Brazil,21,1978,225041
Brazil,21,1979,227089
Brazil,21,1980,232517.21
Brazil,21,1981,234413.8
Brazil,21,1982,236310.6
Brazil,21,1983,238207.4
Brazil,21,1984,240104.2
Brazil,21,1985,241998.71
Brazil,21,1986,240579.2
Brazil,21,1987,239159.4
Brazil,21,1988,237739.6
Brazil,21,1989,236319.8
Brazil,21,1990,234900
Brazil,21,1991,233480.2
Brazil,21,1992,232060.4
Brazil,21,1993,230640.6
Brazil,21,1994,229220.8
Brazil,21,1995,227805
Brazil,21,1996,227908.7
Brazil,21,1997,228012.4
Brazil,21,1998,228116.1
Brazil,21,1999,228219.8
Brazil,21,2000,228323.5
Brazil,21,2001,228427.2
Brazil,21,2002,228530.9
Brazil,21,2003,228634.6
Brazil,21,2004,228738.3
Brazil,21,2005,228842
Brazil,21,2006,228951
Brazil,21,2007,229581.3
Brazil,21,2008,230211.6
Brazil,21,2009,230841.9
Brazil,21,2010,231472.2
Brazil,21,2011,232102.5
Brazil,21,2012,232732.8
Brazil,21,2013,233363.1
Brazil,21,2014,233993.4
Brazil,21,2015,234623.7
China,351,1961,343248
China,351,1962,346001
China,351,1963,348854
China,351,1964,351706
China,351,1965,355509
China,351,1966,359112
China,351,1967,362715
China,351,1968,366313
China,351,1969,370928
China,351,1970,375518
China,351,1971,380165
China,351,1972,384781
China,351,1973,390388
China,351,1974,397029
China,351,1975,401637
China,351,1976,407590
China,351,1977,413532
China,351,1978,419396
China,351,1979,424113
China,351,1980,428519
China,351,1981,433818
China,351,1982,443418
China,351,1983,453831
China,351,1984,465438
China,351,1985,477244
China,351,1986,483353
China,351,1987,488661
China,351,1988,494279
China,351,1989,500388
China,351,1990,506592
China,351,1991,512271
China,351,1992,515198
China,351,1993,519106
China,351,1994,523713
China,351,1995,523714
China,351,1996,523752
China,351,1997,524205
China,351,1998,524549
China,351,1999,523995
China,351,2000,522861
China,351,2001,520771
China,351,2002,519387
China,351,2003,516984
China,351,2004,517276
China,351,2005,518273
China,351,2006,514969
China,351,2007,515400
China,351,2008,515377
China,351,2009,515374
China,351,2010,515368.5
China,351,2011,515366.5
China,351,2012,515361.1
China,351,2013,515358.1
China,351,2014,515357.7
China,351,2015,528634.7
France,68,1961,34539
France,68,1962,34440
France,68,1963,34354
France,68,1964,34109
France,68,1965,34001
France,68,1966,33846
France,68,1967,33629
France,68,1968,33178
France,68,1969,33173
France,68,1970,32495
France,68,1971,32623
France,68,1972,32515
France,68,1973,32460
France,68,1974,32442
France,68,1975,32357
France,68,1976,32021
France,68,1977,31910
France,68,1978,31961
France,68,1979,31834
France,68,1980,31722
France,68,1981,31687
France,68,1982,31646
France,68,1983,31565
France,68,1984,31508
France,68,1985,31442
France,68,1986,31395
France,68,1987,31353
France,68,1988,30830
France,68,1989,30740.9
France,68,1990,30592.8
France,68,1991,30484.9
France,68,1992,30384.3
France,68,1993,30291.3
France,68,1994,30204.9
France,68,1995,30150.2
France,68,1996,30096.3
France,68,1997,30039.6
France,68,1998,29980
France,68,1999,29929.1
France,68,2000,29807.4
France,68,2001,29713.3
France,68,2002,29610.7
France,68,2003,29534.6
France,68,2004,29458.4
France,68,2005,29390.4
France,68,2006,29312.7
France,68,2007,29206.1
France,68,2008,29110.1
France,68,2009,29019.9
France,68,2010,28926.3
France,68,2011,28878.6
France,68,2012,28844.8
France,68,2013,28773.7
France,68,2014,28766.5
France,68,2015,28726.9
Greece,84,1961,8910
Greece,84,1962,8902
Greece,84,1963,9021
Greece,84,1964,8991
Greece,84,1965,8678
Greece,84,1966,9090
Greece,84,1967,9113
Greece,84,1968,9143
Greece,84,1969,9144
Greece,84,1970,9155
Greece,84,1971,9155
Greece,84,1972,9160
Greece,84,1973,9143
Greece,84,1974,9141
Greece,84,1975,9118
Greece,84,1976,9115
Greece,84,1977,9112
Greece,84,1978,9175
Greece,84,1979,9181
Greece,84,1980,9180
Greece,84,1981,9206
Greece,84,1982,9206
Greece,84,1983,9182
Greece,84,1984,9209
Greece,84,1985,9184
Greece,84,1986,9180
Greece,84,1987,9177
Greece,84,1988,9179
Greece,84,1989,9215
Greece,84,1990,9222
Greece,84,1991,9164
Greece,84,1992,9167
Greece,84,1993,9160
Greece,84,1994,9170
Greece,84,1995,9164
Greece,84,1996,9172
Greece,84,1997,8985
Greece,84,1998,8782
Greece,84,1999,8670
Greece,84,2000,8529
Greece,84,2001,8438
Greece,84,2002,8343
Greece,84,2003,8252
Greece,84,2004,8080
Greece,84,2005,8005
Greece,84,2006,7863
Greece,84,2007,7753
Greece,84,2008,7657
Greece,84,2009,7560
Greece,84,2010,7489
Greece,84,2011,7396
Greece,84,2012,7283
Greece,84,2013,7153
Greece,84,2014,6201
Greece,84,2015,6199
India,100,1961,174952
India,100,1962,176482
India,100,1963,176154
India,100,1964,176712
India,100,1965,177177
India,100,1966,177530
India,100,1967,177807
India,100,1968,178364
India,100,1969,177792
India,100,1970,178052
India,100,1971,177817
India,100,1972,177946
India,100,1973,178751
India,100,1974,179282
India,100,1975,179694
India,100,1976,179649
India,100,1977,179591
India,100,1978,180592
India,100,1979,180580
India,100,1980,180272
India,100,1981,180401
India,100,1982,180771
India,100,1983,180462
India,100,1984,181452
India,100,1985,181340
India,100,1986,181192
India,100,1987,181543
India,100,1988,181091
India,100,1989,181501
India,100,1990,181413
India,100,1991,181586
India,100,1992,181305
India,100,1993,181382
India,100,1994,181291
India,100,1995,180945
India,100,1996,180589
India,100,1997,180981
India,100,1998,180874
India,100,1999,181021
India,100,2000,180975
India,100,2001,180487
India,100,2002,180560
India,100,2003,180249
India,100,2004,180375
India,100,2005,180126
India,100,2006,179906
India,100,2007,179620
India,100,2008,179757
