Area,Area Code,Year,Value
Afghanistan,2,1961,-0.059
Afghanistan,2,1962,-0.154
Afghanistan,2,1963,0.82
Afghanistan,2,1964,-0.728
Afghanistan,2,1965,0.001
Afghanistan,2,1966,0.169
Afghanistan,2,1967,-0.357
Afghanistan,2,1968,-0.309
Afghanistan,2,1969,-0.464
Afghanistan,2,1970,0.853
Afghanistan,2,1971,0.605
Afghanistan,2,1972,-1.098
Afghanistan,2,1973,0.059
Afghanistan,2,1974,-0.741
Afghanistan,2,1975,-0.792
Afghanistan,2,1976,-0.298
Afghanistan,2,1977,0.513
Afghanistan,2,1978,0.258
Afghanistan,2,1979,0.42
Afghanistan,2,1980,0.747
Afghanistan,2,1981,0.628
Afghanistan,2,1982,-0.164
Afghanistan,2,1983,0.318
Afghanistan,2,1984,0.333
Afghanistan,2,1985,0.336
Afghanistan,2,1986,0.124
Afghanistan,2,1987,0.572
Afghanistan,2,1988,1.242
Afghanistan,2,1989,-0.055
Afghanistan,2,1990,1.056
Afghanistan,2,1991,-0.009
Afghanistan,2,1992,-0.166
Afghanistan,2,1993,0.654
Afghanistan,2,1996,0.334
Afghanistan,2,1997,0.833
Afghanistan,2,1998,0.887
Afghanistan,2,1999,1.703
Afghanistan,2,2000,1.379
Afghanistan,2,2001,1.717
Afghanistan,2,2002,1.563
Afghanistan,2,2003,0.854
Afghanistan,2,2004,1.625
Afghanistan,2,2005,1.025
Afghanistan,2,2006,1.959
Afghanistan,2,2007,1.232
Afghanistan,2,2008,1.202
Afghanistan,2,2009,1.633
Afghanistan,2,2010,1.881
Afghanistan,2,2011,1.787
Afghanistan,2,2012,0.722
Afghanistan,2,2013,1.251
Afghanistan,2,2014,1.299
Afghanistan,2,2015,1.414
Australia,10,1961,0.119
Australia,10,1962,0.109
Australia,10,1963,-0.146
Australia,10,1964,-0.063
Australia,10,1965,0.069
Australia,10,1966,-0.258
Australia,10,1967,-0.039
Australia,10,1968,-0.197
Australia,10,1969,0.072
Australia,10,1970,-0.089
Australia,10,1971,-0.096
Australia,10,1972,0.071
Australia,10,1973,0.823
Australia,10,1974,-0.227
Australia,10,1975,0.149
Australia,10,1976,-0.378
Australia,10,1977,0.288
Australia,10,1978,0.132
Australia,10,1979,0.357
Australia,10,1980,0.852
Australia,10,1981,0.439
Australia,10,1982,0.254
Australia,10,1983,0.647
Australia,10,1984,-0.145
Australia,10,1985,0.337
Australia,10,1986,0.298
Australia,10,1987,0.327
Australia,10,1988,0.914
Australia,10,1989,0.127
Australia,10,1990,0.52
Australia,10,1991,0.783
Australia,10,1992,0.194
