Area,Area Code,Year,Value
Afghanistan,2,1961,1000000
Afghanistan,2,1962,1000000
Afghanistan,2,1963,1000000
Afghanistan,2,1964,1000000
Afghanistan,2,1965,1000000
Afghanistan,2,1966,1000000
Afghanistan,2,1967,9000000
Afghanistan,2,1968,14000000
Afghanistan,2,1969,15000000
Afghanistan,2,1970,16000000
Afghanistan,2,1971,14800000
Afghanistan,2,1972,16000000
Afghanistan,2,1973,17700000
Afghanistan,2,1974,24200000
Afghanistan,2,1975,27668000
Afghanistan,2,1976,30646000
Afghanistan,2,1977,37014000
Afghanistan,2,1978,35497000
Afghanistan,2,1979,33227000
Afghanistan,2,1980,37846000
Afghanistan,2,1981,28740000
Afghanistan,2,1982,38843000
Afghanistan,2,1983,36800000
Afghanistan,2,1984,52820000
Afghanistan,2,1985,53182000
Afghanistan,2,1986,50720000
Afghanistan,2,1987,52800000
Afghanistan,2,1988,49830000
Afghanistan,2,1989,50000000
Afghanistan,2,1990,44100000
Afghanistan,2,1991,42800000
Afghanistan,2,1992,38900000
Afghanistan,2,1993,40000000
Afghanistan,2,1996,5000000
Afghanistan,2,1997,5000000
Afghanistan,2,1998,6000000
Afghanistan,2,1999,5000000
Afghanistan,2,2000,5000000
Afghanistan,2,2001,18400000
Afghanistan,2,2002,23446000
Afghanistan,2,2003,20320000
Afghanistan,2,2004,23383000
Afghanistan,2,2005,25096000
Afghanistan,2,2006,49032000
Afghanistan,2,2007,28205000
Afghanistan,2,2008,23289000
Afghanistan,2,2009,35236000
Afghanistan,2,2010,33159000
Afghanistan,2,2011,49936000
Afghanistan,2,2012,218171400
Afghanistan,2,2013,114296380
Afghanistan,2,2014,92616000
Afghanistan,2,2015,92616000
Australia,10,1961,35017000
Australia,10,1962,43800000
Australia,10,1963,70200000
Australia,10,1964,64000000
Australia,10,1965,70000000
Australia,10,1966,85412000
Australia,10,1967,129997000
Australia,10,1968,140386000
Australia,10,1969,125413000
Australia,10,1970,123381000
Australia,10,1971,124239000
Australia,10,1972,166556000
Australia,10,1973,172259000
Australia,10,1974,177594000
Australia,10,1975,165654000
Australia,10,1976,211168000
Australia,10,1977,222154000
Australia,10,1978,210549000
Australia,10,1979,241837000
Australia,10,1980,238346000
Australia,10,1981,245021000
Australia,10,1982,258000000
Australia,10,1983,305000000
Australia,10,1984,344000000
Australia,10,1985,340000000
Australia,10,1986,332500000
Australia,10,1987,363100000
Australia,10,1988,392600000
Australia,10,1989,440300000
Australia,10,1990,439400000
Australia,10,1991,462300000
Australia,10,1992,488200000
Australia,10,1993,565400000
Australia,10,1994,583200000
Australia,10,1995,671300000
Australia,10,1996,824600000
Australia,10,1997,839400000
Australia,10,1998,979000000
Australia,10,1999,1082000000
Australia,10,2000,951000000
Australia,10,2001,1049900000
Australia,10,2002,980100000
Australia,10,2003,932900000
Australia,10,2004,1056200000
Australia,10,2005,952300000
Australia,10,2006,858000000
Australia,10,2007,848800000
Australia,10,2008,835000000
Australia,10,2009,849800000
Australia,10,2010,981800000
Australia,10,2011,1098900000
Australia,10,2012,1124600000
Australia,10,2013,1222100000
Australia,10,2014,1404600000
Australia,10,2015,1302800000
Brazil,21,1961,55064000
Brazil,21,1962,50284000
Brazil,21,1963,62061000
Brazil,21,1964,50808000
Brazil,21,1965,70569000
Brazil,21,1966,71134000
Brazil,21,1967,106382000
Brazil,21,1968,144320000
Brazil,21,1969,164430000
Brazil,21,1970,278595000
Brazil,21,1971,278281000
Brazil,21,1972,411642000
Brazil,21,1973,347591000
Brazil,21,1974,389183000
Brazil,21,1975,406234000
Brazil,21,1976,498272000
Brazil,21,1977,700480000
Brazil,21,1978,702243000
Brazil,21,1979,778653000
Brazil,21,1980,905460000
Brazil,21,1981,667840000
Brazil,21,1982,642300000
Brazil,21,1983,568049000
Brazil,21,1984,812880000
Brazil,21,1985,834100000
Brazil,21,1986,980900000
Brazil,21,1987,957900000
Brazil,21,1988,814952000
Brazil,21,1989,802500000
Brazil,21,1990,796600000
Brazil,21,1991,830800000
Brazil,21,1992,841300000
Brazil,21,1993,1085500000
Brazil,21,1994,1220800000
Brazil,21,1995,1140100000
Brazil,21,1996,1250900000
Brazil,21,1997,1438100000
Brazil,21,1998,1545500000
Brazil,21,1999,1660767000
Brazil,21,2000,1668000000
Brazil,21,2001,1640000000
Brazil,21,2002,1834733000
Brazil,21,2003,2407558000
Brazil,21,2004,2281346000
Brazil,21,2005,2072214000
Brazil,21,2006,2192739000
Brazil,21,2007,2948784000
Brazil,21,2008,2498138000
Brazil,21,2009,3145930000
Brazil,21,2010,3668652000
Brazil,21,2011,4418196000
Brazil,21,2012,3733515630
Brazil,21,2013,4106356015
Brazil,21,2014,4275187185
Brazil,21,2015,3830094770
China,351,1961,544000000
China,351,1962,810000000
China,351,1963,974000000
China,351,1964,1250000000
China,351,1965,1832000000
China,351,1966,2671000000
China,351,1967,1958000000
China,351,1968,2146000000
China,351,1969,2635000000
China,351,1970,3369000000
China,351,1971,3370000000
China,351,1972,3859000000
China,351,1973,4451000000
China,351,1974,3849000000
China,351,1975,5039000000
China,351,1976,4755000000
China,351,1977,7073000000
China,351,1978,9280000000
China,351,1979,10641000000
China,351,1980,12112100000
China,351,1981,11528300000
China,351,1982,12274900000
China,351,1983,13722000000
China,351,1984,15179500000
China,351,1985,13838300000
China,351,1986,13576100000
China,351,1987,16803900000
China,351,1988,18514000000
China,351,1989,18855296000
China,351,1990,19557800000
China,351,1991,19970500000
China,351,1992,20329000000
China,351,1993,18003300000
China,351,1994,19160000000
China,351,1995,23781500000
China,351,1996,25275000000
China,351,1997,22949700000
China,351,1998,22887000000
China,351,1999,24142000000
China,351,2000,22139168000
China,351,2001,22422712000
China,351,2002,25223879000
China,351,2003,25348375000
China,351,2004,26393147000
China,351,2005,26781271000
China,351,2006,27386223000
China,351,2007,28116795000
China,351,2008,28507058000
China,351,2009,29073676000
China,351,2010,29644642000
China,351,2011,30232323000
China,351,2012,30802513391.0883
China,351,2013,30963767423.5483
China,351,2014,31144838572.2317
China,351,2015,31028054891.0033
France,68,1961,624700000
France,68,1962,682821000
France,68,1963,790672000
France,68,1964,860500000
France,68,1965,870600000
France,68,1966,990017000
France,68,1967,1133068000
France,68,1968,1243125000
France,68,1969,1241347000
France,68,1970,1453446000
France,68,1971,1524827000
France,68,1972,1588051000
France,68,1973,1833083000
France,68,1974,1554800000
France,68,1975,1707800000
France,68,1976,1815000000
France,68,1977,1831700000
France,68,1978,1978000000
France,68,1979,2134800000
France,68,1980,2146500000
France,68,1981,2193000000
France,68,1982,2196000000
France,68,1983,2320000000
France,68,1984,2337000000
France,68,1985,2408000000
France,68,1986,2568400000
France,68,1987,2557100000
France,68,1988,2605000000
France,68,1989,2660000000
France,68,1990,2492000000
France,68,1991,2569000000
France,68,1992,2154000000
France,68,1993,2222000000
France,68,1994,2308300000
France,68,1995,2391700000
France,68,1996,2523900000
France,68,1997,2513100000
France,68,1998,2488100000
France,68,1999,2571400000
France,68,2000,2316300000
France,68,2001,2397000000
France,68,2002,2203200000
France,68,2003,2375400000
France,68,2004,2324000000
France,68,2005,2205000000
France,68,2006,2204665000
France,68,2007,2402000000
France,68,2008,2099000000
France,68,2009,1900820000
France,68,2010,2043000000
France,68,2011,1944450000
France,68,2012,2024929000
France,68,2013,2143821000
France,68,2014,2190930000
France,68,2015,2208168000
Greece,84,1961,83348000
Greece,84,1962,96667000
Greece,84,1963,115933000
Greece,84,1964,131060000
Greece,84,1965,133929000
Greece,84,1966,145103000
Greece,84,1967,156792000
Greece,84,1968,182121000
Greece,84,1969,190107000
Greece,84,1970,200640000
Greece,84,1971,205699000
Greece,84,1972,212465000
Greece,84,1973,244293000
Greece,84,1974,251500000
Greece,84,1975,275080000
Greece,84,1976,291310000
Greece,84,1977,294000000
Greece,84,1978,341200000
Greece,84,1979,356100000
Greece,84,1980,333300000
Greece,84,1981,373289000
Greece,84,1982,383800000
Greece,84,1983,418000000
Greece,84,1984,426600000
Greece,84,1985,458300000
Greece,84,1986,431600000
Greece,84,1987,388800000
Greece,84,1988,415600000
Greece,84,1989,404200000
Greece,84,1990,427500000
Greece,84,1991,408400000
Greece,84,1992,393000000
Greece,84,1993,328000000
Greece,84,1994,346000000
Greece,84,1995,315000000
Greece,84,1996,340000000
Greece,84,1997,307000000
Greece,84,1998,292000000
Greece,84,1999,291000000
Greece,84,2000,285000000
Greece,84,2001,261000000
Greece,84,2002,271991000
Greece,84,2003,284707000
Greece,84,2004,225050000
Greece,84,2005,203847000
Greece,84,2006,172621000
Greece,84,2007,136564000
Greece,84,2008,175038000
Greece,84,2009,114160000
Greece,84,2010,177135000
Greece,84,2011,269202000
Greece,84,2012,176000000
Greece,84,2013,189208000
Greece,84,2014,179850000
Greece,84,2015,175923000
India,100,1961,249800000
India,100,1962,333000000
India,100,1963,376800000
India,100,1964,555200000
India,100,1965,574800000
India,100,1966,737800000
India,100,1967,1034600000
India,100,1968,1208600000
India,100,1969,1356000000
India,100,1970,1479000000
India,100,1971,1798000000
India,100,1972,1839000000
India,100,1973,1829000000
India,100,1974,1765700000
India,100,1975,2748600000
India,100,1976,2456900000
India,100,1977,2913000000
India,100,1978,3419500000
India,100,1979,3498100000
India,100,1980,3678100000
India,100,1981,4068700000
India,100,1982,4042900000
India,100,1983,4637300000
India,100,1984,5333300000
India,100,1985,5750000000
India,100,1986,6528700000
India,100,1987,5702900000
India,100,1988,7157500000
India,100,1989,7150900000
India,100,1990,7565500000
India,100,1991,8046272000
India,100,1992,8426735000
India,100,1993,8778871000
India,100,1994,9507169000
India,100,1995,9822852000
India,100,1996,10315919000
India,100,1997,10901899000
India,100,1998,11353755000
India,100,1999,11586250000
India,100,2000,10920200000
India,100,2001,11310175000
India,100,2002,10469210000
India,100,2003,11077861000
India,100,2004,11712729000
India,100,2005,12723910000
India,100,2006,13760868000
India,100,2007,14417665000
India,100,2008,14863815000
India,100,2009,15558372000
India,100,2010,16450653000
India,100,2011,17367540000
India,100,2012,16820900000
India,100,2013,16750100000
India,100,2014,16949600000
India,100,2015,17372300000
Iraq,103,1961,1040000
Iraq,103,1962,1000000
Iraq,103,1963,2027000
Iraq,103,1964,2271000
Iraq,103,1965,2622000
Iraq,103,1966,4750000
Iraq,103,1967,6395000
Iraq,103,1968,8257000
Iraq,103,1969,10152000
Iraq,103,1970,12000000
Iraq,103,1971,13469000
Iraq,103,1972,15000000
Iraq,103,1973,20139000
Iraq,103,1974,27317000
Iraq,103,1975,25000000
Iraq,103,1976,35000000
Iraq,103,1977,45000000
Iraq,103,1978,43388000
Iraq,103,1979,74200000
Iraq,103,1980,64500000
Iraq,103,1981,63600000
Iraq,103,1982,64700000
Iraq,103,1983,54300000
Iraq,103,1984,109800000
Iraq,103,1985,120000000
Iraq,103,1986,131490000
Iraq,103,1987,148500000
Iraq,103,1988,164600000
Iraq,103,1989,138425000
Iraq,103,1990,130000000
Iraq,103,1991,95000000
Iraq,103,1992,130000000
Iraq,103,1993,226000000
Iraq,103,1994,238000000
Iraq,103,1995,225000000
Iraq,103,1996,240500000
Iraq,103,1997,242700000
Iraq,103,1998,251200000
Iraq,103,1999,254700000
Iraq,103,2000,250500000
Iraq,103,2001,502000000
Iraq,103,2002,600000000
Iraq,103,2003,800000000
Iraq,103,2004,102714000
Iraq,103,2005,153880000
Iraq,103,2006,167020000
Iraq,103,2007,126420000
Iraq,103,2008,164120000
Iraq,103,2009,171846000
Iraq,103,2010,107980000
Iraq,103,2011,138340000
Iraq,103,2012,158685160.39
Iraq,103,2013,159794132.73
Iraq,103,2014,154964365.41
Iraq,103,2015,160897436.995
Japan,110,1961,633400000
Japan,110,1962,659600000
Japan,110,1963,687300000
Japan,110,1964,668000000
Japan,110,1965,690500000
Japan,110,1966,745600000
Japan,110,1967,775900000
Japan,110,1968,775200000
Japan,110,1969,739800000
Japan,110,1970,688200000
Japan,110,1971,676000000
Japan,110,1972,733000000
Japan,110,1973,821200000
Japan,110,1974,690800000
Japan,110,1975,653000000
Japan,110,1976,702000000
Japan,110,1977,716000000
Japan,110,1978,723000000
Japan,110,1979,777000000
Japan,110,1980,614000000
Japan,110,1981,643000000
Japan,110,1982,683000000
Japan,110,1983,701000000
Japan,110,1984,697200000
Japan,110,1985,680000000
Japan,110,1986,693000000
Japan,110,1987,669000000
Japan,110,1988,640000000
Japan,110,1989,641000000
Japan,110,1990,612000000
Japan,110,1991,576000000
Japan,110,1992,572000000
Japan,110,1993,600000000
Japan,110,1994,580400000
Japan,110,1995,527500000
Japan,110,1996,511700000
Japan,110,1997,495200000
Japan,110,1998,476000000
Japan,110,1999,479500000
Japan,110,2000,487400000
Japan,110,2001,484000000
Japan,110,2002,531031000
Japan,110,2003,543757000
Japan,110,2004,561300000
Japan,110,2005,553543000
Japan,110,2006,528306000
Japan,110,2007,514482000
Japan,110,2008,468524000
Japan,110,2009,434730000
Japan,110,2010,449471000
Japan,110,2011,439801000
Japan,110,2012,372500000
Japan,110,2013,367000000
Japan,110,2014,395800000
Japan,110,2015,359100000
Kenya,114,1961,3000000
Kenya,114,1962,3500000
Kenya,114,1963,7324000
Kenya,114,1964,10332000
Kenya,114,1965,13000000
Kenya,114,1966,11787000
Kenya,114,1967,13000000
Kenya,114,1968,10800000
Kenya,114,1969,16000000
Kenya,114,1970,22000000
Kenya,114,1971,18500000
Kenya,114,1972,18496000
Kenya,114,1973,20370000
Kenya,114,1974,19400000
Kenya,114,1975,21882000
Kenya,114,1976,22417000
Kenya,114,1977,25284000
Kenya,114,1978,25416000
Kenya,114,1979,20100000
Kenya,114,1980,26700000
Kenya,114,1981,37000000
Kenya,114,1982,27700000
Kenya,114,1983,30000000
Kenya,114,1984,34700000
Kenya,114,1985,48500000
Kenya,114,1986,46200000
Kenya,114,1987,47798000
Kenya,114,1988,57600000
Kenya,114,1989,49300000
Kenya,114,1990,49100000
Kenya,114,1991,52400000
Kenya,114,1992,47800000
Kenya,114,1993,42100000
Kenya,114,1994,50800000
Kenya,114,1995,33000000
Kenya,114,1996,63000000
Kenya,114,1997,51000000
Kenya,114,1998,53000000
Kenya,114,1999,54200000
Kenya,114,2000,69911000
Kenya,114,2001,80014000
Kenya,114,2002,62724000
Kenya,114,2003,68061000
Kenya,114,2004,64724000
Kenya,114,2005,72514000
Kenya,114,2006,77667000
Kenya,114,2007,79441000
Kenya,114,2008,73071000
Kenya,114,2009,67372000
Kenya,114,2010,70788000
Kenya,114,2011,111969000
Kenya,114,2012,91571290.1
Kenya,114,2013,128865665.765
Kenya,114,2014,228927535.135
Kenya,114,2015,132993446.705
Republic of Korea,117,1961,216860000
Republic of Korea,117,1962,200000000
Republic of Korea,117,1963,199297000
Republic of Korea,117,1964,173234000
Republic of Korea,117,1965,201163000
Republic of Korea,117,1966,239691000
Republic of Korea,117,1967,277556000
Republic of Korea,117,1968,285919000
Republic of Korea,117,1969,320123000
Republic of Korea,117,1970,355550000
Republic of Korea,117,1971,347200000
Republic of Korea,117,1972,372585000
Republic of Korea,117,1973,411236000
Republic of Korea,117,1974,447377000
Republic of Korea,117,1975,467678000
Republic of Korea,117,1976,361289000
Republic of Korea,117,1977,387890000
Republic of Korea,117,1978,461610000
Republic of Korea,117,1979,443900000
Republic of Korea,117,1980,447224000
Republic of Korea,117,1981,431838000
Republic of Korea,117,1982,308600000
Republic of Korea,117,1983,367400000
Republic of Korea,117,1984,401800000
Republic of Korea,117,1985,426100000
Republic of Korea,117,1986,435400000
Republic of Korea,117,1987,448900000
Republic of Korea,117,1988,460100000
Republic of Korea,117,1989,505744000
Republic of Korea,117,1990,505400000
Republic of Korea,117,1991,473500000
Republic of Korea,117,1992,486600000
Republic of Korea,117,1993,477300000
Republic of Korea,117,1994,475000000
Republic of Korea,117,1995,478029000
Republic of Korea,117,1996,455907000
Republic of Korea,117,1997,507000000
Republic of Korea,117,1998,451000000
Republic of Korea,117,1999,428298000
Republic of Korea,117,2000,411517000
Republic of Korea,117,2001,374555000
Republic of Korea,117,2002,363412000
Republic of Korea,117,2003,335863000
Republic of Korea,117,2004,385933000
Republic of Korea,117,2005,417303000
Republic of Korea,117,2006,304404000
Republic of Korea,117,2007,347381000
Republic of Korea,117,2008,286512000
Republic of Korea,117,2009,225751000
Republic of Korea,117,2010,213321000
Republic of Korea,117,2011,220061000
Republic of Korea,117,2012,302709440
Republic of Korea,117,2013,238257800
Republic of Korea,117,2014,238257800
Republic of Korea,117,2015,238257800
Russian Federation,185,1992,2622000000
Russian Federation,185,1993,2051000000
Russian Federation,185,1994,900000000
Russian Federation,185,1995,1000000000
Russian Federation,185,1996,984000000
Russian Federation,185,1997,950000000
Russian Federation,185,1998,831000000
Russian Federation,185,1999,959000000
Russian Federation,185,2000,960000000
Russian Federation,185,2001,1090500000
Russian Federation,185,2002,654204000
Russian Federation,185,2003,846330000
Russian Federation,185,2004,838270000
Russian Federation,185,2005,863240000
Russian Federation,185,2006,914660000
Russian Federation,185,2007,1043750000
Russian Federation,185,2008,1209760000
Russian Federation,185,2009,1237290000
Russian Federation,185,2010,1192680000
Russian Federation,185,2011,1262820000
Russian Federation,185,2012,1179790000
Russian Federation,185,2013,1166600000
Russian Federation,185,2014,1194490000
Russian Federation,185,2015,1263420000
South Africa,202,1961,54476000
South Africa,202,1962,70686000
South Africa,202,1963,85000000
South Africa,202,1964,93100000
South Africa,202,1965,98500000
South Africa,202,1966,97900000
South Africa,202,1967,131000000
South Africa,202,1968,143900000
South Africa,202,1969,150000000
South Africa,202,1970,180600000
South Africa,202,1971,208400000
South Africa,202,1972,253000000
South Africa,202,1973,231100000
South Africa,202,1974,230153000
South Africa,202,1975,285316000
South Africa,202,1976,315941000
South Africa,202,1977,343002000
South Africa,202,1978,378901000
South Africa,202,1979,400287000
South Africa,202,1980,466385000
South Africa,202,1981,528569000
South Africa,202,1982,475900000
South Africa,202,1983,367900000
South Africa,202,1984,409100000
South Africa,202,1985,379000000
South Africa,202,1986,372900000
South Africa,202,1987,328200000
South Africa,202,1988,380874000
South Africa,202,1989,375231000
South Africa,202,1990,377600000
South Africa,202,1991,358100000
South Africa,202,1992,363000000
South Africa,202,1993,411603000
South Africa,202,1994,375100000
South Africa,202,1995,386000000
South Africa,202,1996,405000000
South Africa,202,1997,405000000
South Africa,202,1998,406000000
South Africa,202,1999,413000000
South Africa,202,2000,415900000
South Africa,202,2001,393000000
South Africa,202,2002,477072000
South Africa,202,2003,420827000
South Africa,202,2004,427571000
South Africa,202,2005,347260000
South Africa,202,2006,428719000
South Africa,202,2007,439480000
South Africa,202,2008,424123000
South Africa,202,2009,453777000
South Africa,202,2010,395000000
South Africa,202,2011,419000000
South Africa,202,2012,430000000
South Africa,202,2013,416500000
South Africa,202,2014,447547000
South Africa,202,2015,402792000
Spain,203,1961,327178000
Spain,203,1962,345497000
Spain,203,1963,333031000
Spain,203,1964,364054000
Spain,203,1965,384720000
Spain,203,1966,473600000
Spain,203,1967,477800000
Spain,203,1968,568200000
Spain,203,1969,606700000
Spain,203,1970,578000000
Spain,203,1971,667000000
Spain,203,1972,689318000
Spain,203,1973,728457000
Spain,203,1974,713755000
Spain,203,1975,722154000
Spain,203,1976,830384000
Spain,203,1977,788072000
Spain,203,1978,870600000
Spain,203,1979,908163000
Spain,203,1980,901889000
Spain,203,1981,818318000
Spain,203,1982,798892000
Spain,203,1983,808460000
Spain,203,1984,916842000
Spain,203,1985,961600000
Spain,203,1986,1062500000
Spain,203,1987,1147800000
Spain,203,1988,1168409000
Spain,203,1989,1109395000
Spain,203,1990,1063114000
Spain,203,1991,998705000
Spain,203,1992,817621000
Spain,203,1993,929300000
Spain,203,1994,982500000
Spain,203,1995,912800000
Spain,203,1996,1153100000
Spain,203,1997,1041900000
Spain,203,1998,1199000000
Spain,203,1999,1181000000
Spain,203,2000,1113700000
Spain,203,2001,1110700000
Spain,203,2002,1026546000
Spain,203,2003,1198606000
Spain,203,2004,1072948000
Spain,203,2005,923764000
Spain,203,2006,969783000
Spain,203,2007,985857000
Spain,203,2008,739757000
Spain,203,2009,781069000
Spain,203,2010,941100000
Spain,203,2011,846700000
Spain,203,2012,843410000
Spain,203,2013,961507000
