Area,Area Code,Year,Value
Afghanistan,2,1961,47000
Afghanistan,2,1962,49000
Afghanistan,2,1963,50000
Afghanistan,2,1964,53000
Afghanistan,2,1965,55000
Afghanistan,2,1966,58000
Afghanistan,2,1967,66000
Afghanistan,2,1968,62900
Afghanistan,2,1969,63000
Afghanistan,2,1970,60000
Afghanistan,2,1971,60000
Afghanistan,2,1972,60000
Afghanistan,2,1973,61000
Afghanistan,2,1974,61000
Afghanistan,2,1975,62000
Afghanistan,2,1976,62000
Afghanistan,2,1977,63000
Afghanistan,2,1978,62000
Afghanistan,2,1979,64000
Afghanistan,2,1980,64000
Afghanistan,2,1981,66000
Afghanistan,2,1982,66000
Afghanistan,2,1983,67000
Afghanistan,2,1984,68000
Afghanistan,2,1985,69000
Afghanistan,2,1986,70000
Afghanistan,2,1987,69000
Afghanistan,2,1988,68000
Afghanistan,2,1989,67000
Afghanistan,2,1990,66000
Afghanistan,2,1991,65000
Afghanistan,2,1992,64000
Afghanistan,2,1993,63000
Afghanistan,2,1996,80000
Afghanistan,2,1997,80000
Afghanistan,2,1998,78280
Afghanistan,2,1999,74000
Afghanistan,2,2000,68560
Afghanistan,2,2001,68440
Afghanistan,2,2002,121560
Afghanistan,2,2003,124020
Afghanistan,2,2004,130220
Afghanistan,2,2005,144140
Afghanistan,2,2006,108800
Afghanistan,2,2007,90350
Afghanistan,2,2008,106890
Afghanistan,2,2009,101930
Afghanistan,2,2010,128880
Afghanistan,2,2011,133780
Afghanistan,2,2012,132120
Afghanistan,2,2013,120530
Afghanistan,2,2014,110980
Afghanistan,2,2015,118630
Australia,10,1961,198900
Australia,10,1962,202900
Australia,10,1963,207000
Australia,10,1964,211100
Australia,10,1965,215000
Australia,10,1966,215000
Australia,10,1967,220000
Australia,10,1968,225000
Australia,10,1969,240000
Australia,10,1970,270000
Australia,10,1971,300000
Australia,10,1972,405350.12
Australia,10,1973,417380
Australia,10,1974,441510.51
Australia,10,1975,407593.91
Australia,10,1976,429170.9
Australia,10,1977,433412.62
Australia,10,1978,426371.29
Australia,10,1979,432140
Australia,10,1980,467490
Australia,10,1981,465610
Australia,10,1982,449740
Australia,10,1983,486320
Australia,10,1984,477680
Australia,10,1985,504010
Australia,10,1986,519300
Australia,10,1987,560090
Australia,10,1988,645660
Australia,10,1989,529010
Australia,10,1990,599560
Australia,10,1991,551160
Australia,10,1992,600710
Australia,10,1993,680870
Australia,10,1994,692080
Australia,10,1995,660040
Australia,10,1996,757440
