Area,Area Code,Year,Value
Afghanistan,2,1950,7752.118
Afghanistan,2,1951,7839.51
Afghanistan,2,1952,7934.98
Afghanistan,2,1953,8038.596
Afghanistan,2,1954,8150.447
Afghanistan,2,1955,8270.581
Afghanistan,2,1956,8399.03
Afghanistan,2,1957,8535.807
Afghanistan,2,1958,8680.946
Afghanistan,2,1959,8834.445
Afghanistan,2,1960,8996.351
Afghanistan,2,1961,9166.764
Afghanistan,2,1962,9345.868
Afghanistan,2,1963,9533.954
Afghanistan,2,1964,9731.361
Afghanistan,2,1965,9938.414
Afghanistan,2,1966,10152.331
Afghanistan,2,1967,10372.63
Afghanistan,2,1968,10604.346
Afghanistan,2,1969,10854.428
Afghanistan,2,1970,11126.123
Afghanistan,2,1971,11417.825
Afghanistan,2,1972,11721.94
Afghanistan,2,1973,12027.822
Afghanistan,2,1974,12321.541
Afghanistan,2,1975,12590.286
Afghanistan,2,1976,12840.299
Afghanistan,2,1977,13067.538
Afghanistan,2,1978,13237.734
Afghanistan,2,1979,13306.695
Afghanistan,2,1980,13248.37
Afghanistan,2,1981,13053.954
Afghanistan,2,1982,12749.645
Afghanistan,2,1983,12389.269
Afghanistan,2,1984,12047.115
Afghanistan,2,1985,11783.05
Afghanistan,2,1986,11601.041
Afghanistan,2,1987,11502.761
Afghanistan,2,1988,11540.888
Afghanistan,2,1989,11777.609
Afghanistan,2,1990,12249.114
Afghanistan,2,1991,12993.657
Afghanistan,2,1992,13981.231
Afghanistan,2,1993,15095.099
Afghanistan,2,1994,16172.719
Afghanistan,2,1995,17099.541
Afghanistan,2,1996,17822.884
Afghanistan,2,1997,18381.605
Afghanistan,2,1998,18863.999
Afghanistan,2,1999,19403.676
Afghanistan,2,2000,20093.756
Afghanistan,2,2001,20966.463
Afghanistan,2,2002,21979.923
Afghanistan,2,2003,23064.851
Afghanistan,2,2004,24118.979
Afghanistan,2,2005,25070.798
Afghanistan,2,2006,25893.45
Afghanistan,2,2007,26616.792
Afghanistan,2,2008,27294.031
Afghanistan,2,2009,28004.331
Afghanistan,2,2010,28803.167
Afghanistan,2,2011,29708.599
Afghanistan,2,2012,30696.958
Afghanistan,2,2013,31731.688
Afghanistan,2,2014,32758.02
Afghanistan,2,2015,33736.494
Afghanistan,2,2016,34656.032
Afghanistan,2,2017,35530.081
Afghanistan,2,2018,36373.176
Australia,10,1950,8177.342
Australia,10,1951,8412.604
Australia,10,1952,8620.97
Australia,10,1953,8816.902
Australia,10,1954,9011.19
Australia,10,1955,9210.908
Australia,10,1956,9419.268
Australia,10,1957,9635.828
Australia,10,1958,9856.949
Australia,10,1959,10076.741
Australia,10,1960,10289.707
Australia,10,1961,10493.555
Australia,10,1962,10691.689
Australia,10,1963,10894.27
Australia,10,1964,11115.211
Australia,10,1965,11363.313
Australia,10,1966,11643.451
Australia,10,1967,11949.357
Australia,10,1968,12265.087
Australia,10,1969,12568.3
Australia,10,1970,12842.907
Australia,10,1971,13084.157
Australia,10,1972,13296.872
Australia,10,1973,13486.438
Australia,10,1974,13662.048
Australia,10,1975,13831.206
Australia,10,1976,13994.623
Australia,10,1977,14152.065
Australia,10,1978,14309.298
Australia,10,1979,14473.242
Australia,10,1980,14649.114
Australia,10,1981,14838.494
Australia,10,1982,15041.065
Australia,10,1983,15257.358
Australia,10,1984,15487.214
Australia,10,1985,15729.643
Australia,10,1986,15986.164
Australia,10,1987,16254.935
Australia,10,1988,16527.43
Australia,10,1989,16792.294
Australia,10,1990,17041.431
Australia,10,1991,17271.874
Australia,10,1992,17485.948
Australia,10,1993,17687.479
Australia,10,1994,17882.737
Australia,10,1995,18076.743
Australia,10,1996,18271.685
Australia,10,1997,18467.588
Australia,10,1998,18665.045
Australia,10,1999,18864.112
